"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.042256702E0,-1.931199908E0,-6.326499939E0,1.614499927E0,6.808872489E0
2.052183265E0,-1.508899927E0,-6.123300076E0,1.668200016E0,6.523379040E0
2.062109827E0,-1.331900001E0,-5.812200069E0,1.794899940E0,6.227141644E0
2.072036390E0,-3.173999786E-1,-5.702600002E0,1.814899921E0,5.992850011E0
2.081962952E0,1.505999923E0,-5.430200100E0,1.510299921E0,5.834047887E0
2.091887952E0,3.023399830E0,-4.890899658E0,1.143999934E0,5.862642906E0
2.101814515E0,3.685099840E0,-4.540199757E0,9.900999665E-1,5.930739634E0
2.111741077E0,3.397199869E0,-4.354000092E0,1.117200017E0,5.634396119E0
2.121667640E0,2.542799950E0,-4.209300041E0,1.569000006E0,5.161956939E0
2.131594202E0,1.779699922E0,-3.606199980E0,2.224299908E0,4.595597914E0
2.141520765E0,1.788299918E0,-2.620699883E0,3.181699991E0,4.493250417E0
2.151445765E0,2.878899813E0,-1.884699941E0,3.793200016E0,5.121379146E0
2.161403577E0,4.408099651E0,-1.378899932E0,4.177099705E0,6.227428803E0
2.171298890E0,5.475499630E0,-9.777999520E-1,4.205299854E0,6.972928783E0
2.181225452E0,5.790999889E0,-5.225999951E-1,4.186500072E0,7.164884740E0
2.191152015E0,5.432600021E0,1.726000011E-1,4.343199730E0,6.957464886E0
2.201078577E0,5.047199726E0,8.148999810E-1,4.541399956E0,6.838318552E0
2.211005140E0,4.698400021E0,1.222100019E0,4.741499901E0,6.786038058E0
2.220931702E0,4.456599712E0,1.416700006E0,4.511099815E0,6.497564270E0
2.230856702E0,4.447499752E0,1.529099941E0,3.657199860E0,5.957643115E0
2.240783265E0,4.376999855E0,1.770399928E0,2.772399902E0,5.475275779E0
2.250709827E0,4.151400089E0,2.302099943E0,2.599299908E0,5.412037219E0
2.260636390E0,4.266399860E0,2.843699932E0,3.238299847E0,6.064271017E0
2.270562952E0,4.592299938E0,3.161799908E0,4.147099972E0,6.948714669E0
2.280487952E0,5.010099888E0,3.245999813E0,4.657199860E0,7.571467903E0
2.290416077E0,5.034399986E0,3.449499846E0,4.507999897E0,7.587245579E0
2.300341077E0,4.812599659E0,3.757499933E0,3.789499998E0,7.186113794E0
2.310267640E0,4.778800011E0,3.963799953E0,3.067199945E0,6.925052716E0
2.320194202E0,4.417399883E0,4.330299854E0,2.746299982E0,6.768092948E0
2.330120765E0,4.014400005E0,4.481899738E0,2.798199892E0,6.635718145E0
2.340045765E0,3.529399872E0,4.407700062E0,3.097899914E0,6.440610776E0
2.349972327E0,2.798899889E0,4.268700123E0,3.359999895E0,6.111075243E0
2.359898890E0,1.885599971E0,4.109399796E0,3.428999901E0,5.674565556E0
2.369825452E0,9.332000017E-1,3.996299982E0,3.394099951E0,5.325522535E0
2.379752015E0,2.838000059E-1,3.794499874E0,3.097699881E0,4.906578878E0
2.389678577E0,-2.064999938E-1,3.569299936E0,2.678099871E0,4.467075464E0
2.399605140E0,-9.404999614E-1,3.495800018E0,2.534699917E0,4.419260302E0
2.409553577E0,-1.437500000E0,3.274600029E0,2.646600008E0,4.449033963E0
2.419456702E0,-1.753199935E0,2.808599949E0,2.592000008E0,4.204807692E0
2.429383265E0,-2.053900003E0,2.419999838E0,2.244099855E0,3.887272643E0
2.439309827E0,-2.368700027E0,2.112400055E0,1.526600003E0,3.521857661E0
2.449236390E0,-2.639499903E0,1.940299988E0,4.244999886E-1,3.303320151E0
2.459162952E0,-2.429100037E0,1.785099983E0,-8.524999619E-1,3.132708911E0
2.469089515E0,-2.049900055E0,1.557699919E0,-1.738999963E0,3.106869830E0
2.479014515E0,-1.475499988E0,1.369300008E0,-2.334599972E0,3.082602756E0
2.488941077E0,-8.468999863E-1,1.257699966E0,-2.639099836E0,3.043665017E0
2.498867640E0,7.534999847E-1,5.878999829E-1,-1.918599963E0,2.143458522E0
2.508794202E0,1.734299898E0,3.391000032E-1,-5.651000142E-1,1.855295927E0
2.518720765E0,1.428300023E0,3.504999876E-1,9.233999848E-1,1.736536417E0
2.528647327E0,1.137499928E0,-3.079999983E-1,1.780299902E0,2.135003004E0
2.538572327E0,6.189000010E-1,-1.020200014E0,1.581799984E0,1.981397605E0
2.548500452E0,-1.316999942E-1,-1.439199924E0,5.759999752E-1,1.555769033E0
2.558425452E0,-7.760999799E-1,-1.920199990E0,-7.973999977E-1,2.219312042E0
2.568352015E0,-1.013499975E0,-2.400899887E0,-2.101599932E0,3.347868686E0
2.578278577E0,-8.817999959E-1,-2.820099831E0,-3.229199886E0,4.377015672E0
2.588205140E0,-6.581000090E-1,-2.789199829E0,-4.097799778E0,5.000469411E0
2.598131702E0,-6.439999491E-2,-2.912999868E0,-4.961199760E0,5.753539663E0
2.608056702E0,7.843999863E-1,-3.246599913E0,-5.301099777E0,6.265568863E0
2.617983265E0,1.316999912E0,-3.565799952E0,-4.955399990E0,6.245430900E0
2.627909827E0,1.183300018E0,-3.709599972E0,-4.004799843E0,5.585673877E0
2.637836390E0,8.554999828E-1,-4.043999672E0,-2.947099924E0,5.076535386E0
2.647762952E0,5.009999871E-1,-4.347700119E0,-1.953799963E0,4.792789543E0
2.657687952E0,1.013999954E-1,-4.401599884E0,-1.013499975E0,4.517913866E0
2.667616077E0,-6.599999964E-2,-4.292099953E0,-4.576999843E-1,4.316939573E0
2.677542640E0,4.603999853E-1,-4.125599861E0,-2.542999983E-1,4.158991566E0
2.687467640E0,1.608299971E0,-3.880899906E0,-1.484999955E-1,4.203577658E0
2.697394202E0,3.282299995E0,-3.386799812E0,3.140999973E-1,4.726792257E0
2.707320765E0,5.161200047E0,-2.591699839E0,1.389500022E0,5.940168708E0
2.717247327E0,6.094799995E0,-1.572499990E0,2.494799852E0,6.770773184E0
2.727173890E0,6.251599789E0,-6.362000108E-1,3.148999929E0,7.028758847E0
2.737098890E0,6.843099594E0,-9.027999640E-1,3.033999920E0,7.539775550E0
2.747025452E0,6.444399834E0,-4.104999900E-1,2.820499897E0,7.046560801E0
2.756952015E0,5.278899670E0,4.725999832E-1,2.667999983E0,5.933662981E0
2.766878577E0,4.683399677E0,1.119499922E0,2.166599989E0,5.280309472E0
2.776803577E0,5.350199699E0,1.298699975E0,1.641099930E0,5.744951473E0
2.786730140E0,6.299699783E0,1.669899940E0,1.616699934E0,6.714797231E0
2.796656702E0,6.785999775E0,2.013299942E0,2.087699890E0,7.379814390E0
2.806583265E0,7.033499718E0,1.872699976E0,2.481400013E0,7.689893985E0
2.816511390E0,6.528499603E0,1.693699956E0,2.592799902E0,7.225824378E0
2.826436390E0,5.928199768E0,1.468699932E0,2.388900042E0,6.558008493E0
2.836362952E0,5.529299736E0,1.096400023E0,2.250499964E0,6.069596252E0
2.846287952E0,5.701900005E0,5.595999956E-1,2.187000036E0,6.132518649E0
2.856214515E0,5.555999756E0,2.742999792E-1,2.138099909E0,5.959517177E0
2.866141077E0,5.100299835E0,-2.719999850E-2,2.024199963E0,5.487365829E0
2.876067640E0,4.331500053E0,-1.008999944E-1,1.757099986E0,4.675411627E0
2.885994202E0,3.561999798E0,-2.755999863E-1,1.287899971E0,3.797694596E0
2.895920765E0,3.210599899E0,-6.345999837E-1,9.590999484E-1,3.410357982E0
2.905847327E0,2.732499838E0,-9.655999541E-1,8.905999660E-1,3.031848765E0
2.915772327E0,2.938499928E0,-1.401000023E0,1.089399934E0,3.432837763E0
2.925698890E0,3.020399809E0,-1.511600018E0,1.349799991E0,3.637266781E0
2.935627015E0,2.718400002E0,-1.753399968E0,1.364899993E0,3.510991599E0
2.945553577E0,2.243799925E0,-2.109699965E0,1.323400021E0,3.352142547E0
2.955478577E0,1.457299948E0,-2.296599865E0,1.509799957E0,3.110882510E0
2.965405140E0,9.526000023E-1,-2.565099955E0,1.867199898E0,3.312645468E0
2.975330140E0,5.537999868E-1,-2.821300030E0,2.131299973E0,3.578947870E0
2.985256702E0,-5.439999700E-1,-2.588099957E0,2.086999893E0,3.368941363E0
2.995183265E0,-1.717499971E0,-2.582099915E0,1.927099943E0,3.651131374E0
3.005109827E0,-2.874799967E0,-2.485999823E0,1.599699974E0,4.123555502E0
3.015036390E0,-3.654999971E0,-2.333299875E0,1.131500006E0,4.481473570E0
3.024962952E0,-3.906099796E0,-2.262799978E0,4.957000017E-1,4.541321157E0
3.034889515E0,-3.670300007E0,-2.261100054E0,9.929999709E-2,4.312022273E0
3.044816077E0,-3.228600025E0,-2.345299959E0,-9.429999441E-2,3.991639076E0
3.054742640E0,-2.869899988E0,-2.503399849E0,-2.280000001E-1,3.815143607E0
3.064669202E0,-2.932299852E0,-2.740000010E0,-2.583999932E-1,4.021536153E0
3.074594202E0,-3.323799849E0,-2.778100014E0,-5.317999721E-1,4.364435396E0
3.084520765E0,-3.893299818E0,-2.784600019E0,-9.782999754E-1,4.885575870E0
3.094447327E0,-4.229300022E0,-2.866099834E0,-1.667599916E0,5.374234496E0
3.104372327E0,-4.117000103E0,-3.088199854E0,-2.327600002E0,5.648397114E0
3.114298890E0,-3.402199984E0,-3.308399916E0,-2.799000025E0,5.509525921E0
